FID,START_X,START_Y,END_X,END_Y
1,347.171875,374.04999,640.5881958,253.099610001
2,29.5026855,300.724610001,96.3599853,514.82739
3,565.3748779,425.34161,483.6184692,315.40698
4,386.0808105,33.3621800002,440.585083,275.191830001
5,505.6726684,309.05859,576.0520019,405.367190001
6,508.6217041,221.10943,441.152771,159.59363
7,418.5308838,229.04681,312.961914,93.3154300004
8,198.237915,222.724420001,175.1561889,597.603030001
9,312.5264892,272.01678,417.3016967,140.7832
10,574.8999023,215.553040001,579.6624145,173.88104
